D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_485.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_485.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_485.jpg,0,0,0,5.66E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_560.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_560.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_560.jpg,0,0,0,3.48E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_633.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_633.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_633.jpg,0,0,0,8.53E-07
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_707.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_707.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_707.jpg,0,0,0,1.49E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_777.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_777.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_777.jpg,0,0,0,1.40E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_851.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_851.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_851.jpg,0,0,0,1.30E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_921.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_921.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_921.jpg,0,0,0,1.37E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_16_994.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_16_994.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_16_994.jpg,0,0,0,2.09E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_17_065.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_17_065.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_17_065.jpg,0,0,0,2.39E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_17_135.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_17_135.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_17_135.jpg,0,0,0,2.75E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_17_209.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_17_209.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_17_209.jpg,0,0,0,2.78E-06
D:\OneDrive\Desktop\IMG1\center_2020_12_05_19_38_17_282.jpg,D:\OneDrive\Desktop\IMG1\left_2020_12_05_19_38_17_282.jpg,D:\OneDrive\Desktop\IMG1\right_2020_12_05_19_38_17_282.jpg,0,0,0,2.65E-06
